param_classifier__C,param_classifier__solver,mean_test_score,std_test_score
0.01,lbfgs,0.7426470588235293,0.0647726927810154
0.01,saga,0.7426470588235293,0.0647726927810154
0.1,lbfgs,0.9147058823529411,0.029540160921471572
0.1,saga,0.9147058823529411,0.029540160921471572
1.0,lbfgs,0.9147058823529411,0.029540160921471572
1.0,saga,0.9147058823529411,0.029540160921471572
10.0,lbfgs,0.9022058823529411,0.030459287025305853
10.0,saga,0.8897058823529411,0.047253732391351846
100.0,lbfgs,0.8897058823529411,0.047253732391351846
100.0,saga,0.8897058823529411,0.047253732391351846
